,userID,tag,tag_num,content,date,year,label,gender_female,gender_lgbt,pubertal_development,sexual_harrasment,appearance_object,appearance_animal,attitude,shame,mother,label_ver2
49,GGrunrundela,噓,1,你朋友484一張阿伯臉的醜陋黑道死胖,11/25,2021,1,0,0,1,0,0,0,1,1,0,1
50,allmwh,推,2,不常去看實況 自然對vt沒興趣,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
51,ck901372,推,2,網軍真的出來了,12/05,2021,0,0,0,0,0,0,0,0,0,0,0
52,kawazakiz2,推,2,換作肥宅還是一樣叫「胖子」或「阿肥,08/12,2022,1,0,0,0,0,0,0,1,0,0,1
53,ZhaiMan,推,2,生日快樂 你的手指肥肥的,04/07,2022,1,0,0,1,0,0,0,1,0,0,1
54,yun0112,→,0,信就好,12/10,2021,0,0,0,0,0,0,0,0,0,0,0
55,hatephubbing,推,2,太油,12/03,2021,0,0,0,0,0,0,0,1,0,0,0
56,c4658860,→,0,台灣女生可以笑男生肥、醜，卻不能接受,05/26,2022,1,0,0,0,0,0,0,1,0,0,1
57,u304027,→,0,而且還有人以為打核電廠會核爆?這麼傻?,12/14,2021,0,0,0,0,0,0,0,0,0,0,0
58,bcyeh,推,2,這算是持有私人軍隊應該用叛亂罪吧,12/10,2021,0,0,0,0,0,0,0,0,0,0,0
59,GARRETH,推,2,八卦矮醜窮禿殘臭油噁肥宅瑟瑟發抖,06/08,2022,1,0,0,0,0,0,0,1,0,0,1
60,AUwalker,推,2,時代真的反轉了 以前士修還是小丑，如今,12/11,2021,0,0,0,0,0,0,0,0,0,0,0
61,jeff23031,推,2,跪了,12/14,2021,0,0,0,0,0,0,0,0,0,0,0
62,derrick1220,→,0,淦0梁這醜女肥婆滾辣操,12/21,2021,1,0,0,0,0,0,0,1,1,1,1
63,faryoo,推,2,我看那些名人都住高級大樓,12/12,2021,0,0,0,0,0,0,0,0,0,0,0
64,R10K,→,0,鳥仔腳超醜,09/21,2021,2,0,0,1,0,0,1,1,0,0,2
65,angelgirl13,→,0,你上次也嗆我!!! 大胖宅板主!!!,01/28,2016,1,0,0,0,0,0,0,1,0,0,1
66,sheepxo,→,0,推,12/02,2021,0,0,0,0,0,0,0,0,0,0,0
67,laihom0808,推,2,肥婆,09/07,2021,1,0,0,0,0,0,0,1,0,0,1
68,mmchen,推,2,817真丟臉,12/13,2021,0,0,0,1,0,0,0,0,0,0,0
69,thereunder,→,0,班邏輯差成這樣喔？,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
70,richard26057,噓,1,低能肥豬 幹你娘,10/09,2021,1,0,0,0,1,0,1,1,1,0,1
71,EEzionT,→,0,修圖龍妹 最後剩一個超難聊,08/06,2022,1,0,0,0,0,0,1,0,0,0,1
72,chiz2,推,2,推真實情況,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
73,msk127,推,2,社會的現實 人帥吃鮑 人醜吃草 肥宅崩潰~~~~,09/05,2015,0,0,0,0,1,0,0,1,0,0,0
74,mystage,→,0,藥局不會賣啊，國內買不到,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
75,cedca,→,0,瘦不拉基的台女,11/20,2022,2,0,0,0,1,0,0,0,0,0,2
76,wei371114,噓,1,阿境外十幾例都不用校正回歸,12/10,2021,0,0,0,0,0,0,0,0,0,0,0
77,GGGGININ,推,2,我比較討厭整天信耶穌走火入魔的 連高,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
78,grant790110,推,2,樓下14天,12/08,2021,0,0,0,0,0,0,0,0,0,0,0
79,tony922,噓,1,民視,12/11,2021,0,0,0,0,0,0,0,0,0,0,0
80,ausstin,→,0,幹自己左轉啦 嘔嘔嘔,12/10,2021,0,0,0,0,1,0,0,1,1,0,0
81,hchs31705,推,2,還以為是罵三角形,12/14,2021,0,0,0,0,0,0,0,0,0,0,0
82,nicbb123,噓,1,可惜水桶腰,08/20,2022,1,0,0,1,0,1,0,0,0,0,1
83,nikewang,→,0,又肥又醜又低學歷 又加上是南部人,09/22,2022,1,0,0,0,0,0,0,1,0,0,1
84,mumi61337,噓,1,國外超市都買得到的東西就國軍當寶==,12/12,2021,0,0,0,0,0,0,0,0,0,0,0
85,skiro,噓,1,北七醜又肥,09/26,2021,1,0,0,0,0,0,0,1,0,0,1
86,sheep922420,推,2,拉麵就一堆澱粉+油  吃完變肥豬,11/16,2022,1,0,0,0,0,0,1,1,0,0,1
87,curlymonkey,推,2,反正他說屎 同溫層都會信啦 他就是,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
88,jerry0163,噓,1,這人就毫無素質可言！劣,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
89,NCTUEE800808,推,2,龍妹嫉妒心發作,04/27,2022,1,0,0,0,0,0,1,0,0,0,1
90,HotDogCC,噓,1,蟑螂只是跑到其他地方問題一樣沒有解決,12/04,2021,0,0,0,0,0,0,0,0,0,1,0
91,ajcky,推,2,是，頂多是沒奶子可摸而已，幹女人還要取,11/13,2021,0,0,0,0,1,0,0,0,1,0,0
92,njxmzxc,→,0,說肥宅增胖套兵役真的是羞辱人 只是為了,12/29,2021,0,0,0,0,0,0,0,1,0,0,0
93,EfiwymsiAros,→,0,不是都弱智啊,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
94,Geekin,→,0,那人潮光想像就不想去了，這麼多人甘願擠,12/09,2021,0,0,0,0,0,0,0,0,0,0,0
95,nwkasim,推,2,先找個紙箱東西裝一裝吧,12/09,2021,0,0,0,0,0,0,0,0,0,0,0
96,belister,噓,1,沒奶又沒屁股,07/03,2022,2,0,0,1,0,0,0,0,0,0,2
97,fransiceyho,推,2,被台積電軍團氣勢嚇到了 罵人超兇,12/14,2021,0,0,0,0,0,0,0,0,0,0,0
98,MaBumblerQQ,噓,1,笑死一定是大齡單身肥婆,02/06,2022,1,0,0,0,0,0,0,1,1,0,1
99,yrbjarna,推,2,媒體會引導人民的思考方式，有時候台灣,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
100,GTOyoko5566,推,2,肥宅腿抬不起來,10/30,2021,1,0,0,1,0,0,0,1,0,0,1
101,yuanyuanchan,→,0,題,12/03,2021,0,0,0,0,0,0,0,0,0,0,0
102,nrxadsl,→,0,拍cos照就是腿粗下盤超大，但是在實況上,03/06,2022,1,0,0,1,0,0,0,1,0,0,1
103,Blunt,噓,1,五短肥婆,01/14,2022,1,0,0,0,0,0,0,1,0,0,1
104,a0226958831,噓,1,肥又醜,11/13,2022,1,0,0,0,0,0,0,1,0,0,1
105,justinqoot,→,0,之夢吧 聽起來就很夢幻,12/05,2021,0,0,0,0,0,0,0,0,0,0,0
106,loveapple33,推,2,手臂…比腿粗了,01/11,2022,1,0,0,1,0,0,0,1,0,0,1
107,xixixxiixxii,→,0,或許他是個出色的角色扮演師,12/08,2021,0,0,0,0,0,0,0,0,0,0,0
108,wert22823,推,2,甜不辣手,07/01,2022,1,0,0,1,0,1,0,0,0,0,1
109,coffee112,推,2,我愛買的咖啡 已經漲了快1/3了 唉...,12/14,2021,0,0,0,0,0,0,0,0,0,0,0
110,ju06080719,→,0,五樓自肥,12/07,2021,0,0,0,0,0,0,0,1,0,0,0
111,a210510,推,2,一定是扁奶又醜又龍,11/05,2022,2,0,0,0,0,0,1,1,0,0,2
112,ZIQQ001,推,2,只能說民進黨很會廢物利用 骯髒事專找這,12/06,2021,0,0,0,0,0,0,0,1,1,0,0
113,pivotalHarry,→,0,箭指2024？？,12/14,2021,0,0,0,0,0,0,0,0,0,0,0
114,cowboyz1105,推,2,豬母統治的這幾年台灣整個虛胖,12/21,2021,1,0,0,0,0,0,1,1,0,0,1
115,BBKOX,推,2,塔綠班：資進黨一定是正確的,12/08,2021,0,0,0,0,0,0,0,0,0,0,0
116,Mradult,推,2,這種說法感覺就是找個白名單揹鍋止血,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
117,Dreamer48763,噓,1,殊不知那屁股有夠塌,04/27,2022,2,0,0,1,0,0,0,0,0,0,2
118,derrick1220,→,0,身高還好 但腿粗腳大比較有影響,11/27,2021,1,0,0,1,0,0,0,1,0,0,1
119,flowersuger,→,0,瘦到皮包骨不成貓樣有夠可憐..,12/30,2021,0,0,0,0,0,1,0,0,0,0,0
120,allyourshit,→,0,死肥婆,01/01,2022,1,0,0,0,0,0,0,1,1,0,1
121,loverxa,→,0,處女放龍妹上不是優點,09/25,2021,1,0,0,0,1,0,1,0,0,0,1
122,derrick1220,→,0,持也太好 同年的英國女人大多變肥婆,02/05,2022,1,0,0,0,0,0,0,1,0,0,1
123,alchemist106,推,2,老師的十二樣見面禮,12/08,2021,0,0,0,0,0,0,0,1,0,0,0
124,elibra01,推,2,塔綠班：魯蛇,12/12,2021,0,0,0,0,0,0,0,1,0,0,0
125,ncc5566,噓,1,女主醜又沒奶,10/02,2022,1,0,0,0,0,0,0,1,0,0,1
126,xxx5566xxx,→,0,肥婆滾,05/11,2022,1,0,0,0,0,0,0,1,0,1,1
127,SeTeVen,推,2,喊檢舉魔人的是不是全家死光啊嘻嘻,12/11,2021,0,0,0,0,0,0,0,0,1,0,0
128,macrose,推,2,疫苗平台可以預約殘劑??謊話兜不攏了,12/13,2021,0,0,0,0,0,0,0,1,0,0,0
129,kcclasaki,推,2,死大肥豬 有種飛來台灣 跟我尬一場,12/05,2022,1,0,0,0,0,0,1,1,1,0,1
130,hancao0816,推,2,私立的就算了 公立學校老師不該放寒假,12/06,2021,0,0,0,0,0,0,0,1,0,0,0
131,buddar,→,0,是不是受過刑求訓練？,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
132,GGWP2014,推,2,怕胖團- 媽媽的筆記本,11/25,2022,0,0,0,0,0,0,0,1,1,0,0
133,ez0980,推,2,燻雞肥婆2.0蔡英文的手下就是囂張,08/14,2020,1,0,0,1,0,0,0,1,0,0,1
134,liusean,→,0,心,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
135,Azabulu,→,0,焦啊糖就心裡有肥婆 聽到啥都是肥婆,02/21,2022,1,0,0,0,0,0,0,1,0,0,1
136,timmkimm,推,2,推推,12/08,2021,0,0,0,0,0,0,0,0,0,0,0
137,TarikBlack,→,0,看那個九萬變胖的廢物就知道,04/20,2022,1,0,0,0,0,0,0,1,1,0,1
138,artwu,→,0,約炮對象又醜又肥就算了還是個男的 正常都,05/27,2022,1,0,0,0,0,0,1,1,0,0,1
139,deepdish,噓,1,投資自己的肥肚肚,07/01,2022,4,0,0,1,0,0,0,1,0,0,0
140,needmmmoney,推,2,哇 要血流成河了嗎？太精彩啦,12/03,2021,0,0,0,0,0,0,0,0,0,0,0
141,numbtch236,推,2,衝平交道最好台鐵會賠。是你賠台鐵吧,12/11,2021,0,0,0,0,0,0,0,0,0,0,0
142,ss02pupu,推,2,就是扁阿 胖的扁 瘦的扁以下省略3000字,06/02,2022,2,0,0,0,0,0,0,1,0,0,2
143,luck9987,推,2,出一張嘴的傢伙，國家不幸,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
144,LBJ23,噓,1,敢她馬的塔綠班胖子,03/04,2022,1,0,0,0,0,0,1,1,1,0,1
145,lycs0908,→,0,六百萬以上欸  罰那些黑心企業地板怎沒,12/03,2021,0,0,0,0,0,0,0,0,0,0,0
146,headcase,推,2,撿肥皂醜死了 置板凳的分解動作才迷人,03/21,2022,1,0,0,0,0,0,0,1,1,0,1
147,Croy,推,2,台灣空氣是真的每年都有變好沒錯啊,12/02,2021,0,0,0,0,0,0,0,0,0,0,0
148,jvv703,推,2,過的開心就好，生日快樂,12/03,2021,0,0,0,0,0,0,0,0,0,0,0
149,Julian9x9x9,→,0,自己看檢舉版罵柯粉的有多少被判,12/09,2021,0,0,0,0,0,0,0,0,0,0,0
150,xox5678,推,2,問蔡英文啊,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
151,winiS,→,0,觀光是貪汙肥婆的說詞，那路線本來就該挖洞,02/07,2022,1,0,0,0,0,0,0,1,0,0,1
152,li72716,→,0,沒房沒車又醜又胖又老又窮還陽痿,05/21,2022,1,0,0,0,0,0,0,1,0,0,1
153,pttenjk,→,0,主軸。1998年8月30日於中視首播。,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
154,a85201207,噓,1,有障礙,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
155,heavensun,→,0,寧願當正妹工具人  也不願給龍妹機會??,12/01,2021,1,0,0,0,0,0,1,0,0,0,1
156,e2167471,→,0,有些國家就龍妹啦  懂？,01/17,2022,1,0,0,0,0,0,1,0,0,0,1
157,ulli,→,0,菜雞 做研究做到被感染,12/09,2021,0,0,0,0,0,0,0,0,0,0,0
158,ausstin,→,0,一個肥婆來幹嘛,02/24,2022,1,0,0,0,1,0,0,1,0,0,1
159,todao,→,0,甚至還能作為小額訴訟代理人,12/09,2021,0,0,0,0,0,0,0,0,0,0,0
160,konanno1,→,0,你說什麼？党聽不懂，別造搖,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
161,tim8177414,噓,1,娘娘是肥婆好嗎,09/14,2021,1,0,0,0,0,0,0,1,0,0,1
162,kawazakiz2,→,0,都是中年禿頭肥肚大叔在回你,07/14,2022,1,0,0,1,0,0,0,1,0,0,1
163,mirac1e,推,2,侮辱公署的開蟑聖母也不是綠的XD,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
164,stoke4096,→,0,有5個還發文不是？這柯學家邏輯？,12/11,2021,0,0,0,0,0,0,0,0,0,0,0
165,gn01693664,→,0,住家裡舒服,12/08,2021,0,0,0,0,0,0,0,0,0,0,0
166,newyanew,噓,1,笑死 神豬自己姓什麼 有臉講別人,09/24,2022,1,0,0,1,0,0,1,0,1,0,1
167,shocklino,推,2,所以你記得什麼？,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
168,dael0621,推,2,推,12/08,2021,0,0,0,0,0,0,0,0,0,0,0
169,nivodivo,→,0,會跳舞但是長得路人平胸腿粗肥沒腰身你,01/22,2022,1,0,0,1,0,0,0,1,0,0,1
170,taiwan1789,推,2,臭甲,12/08,2021,0,0,1,0,0,0,0,1,0,0,0
171,soulivee,→,0,有些18天熟成才暴斃,12/02,2021,0,0,0,0,0,0,0,0,0,0,0
172,j55888819,推,2,別人做愛 肥宅在後面幫忙推屁股,09/05,2021,0,0,0,1,1,0,0,1,0,0,0
173,overingx,推,2,臭酸肥仔跪到膝蓋流油都沒人理,12/09,2021,0,0,0,0,0,0,0,1,0,0,0
174,wwwwwwww852,推,2,恐龍騎士團 專門幹龍妹那種,10/03,2021,1,0,0,0,1,1,1,0,1,0,1
175,hikaru77613,推,2,Dpp 不會錯，會錯都是中共害的，請,12/12,2021,0,0,0,0,0,0,0,0,0,0,0
176,pslr1,推,2,馬的 賓妹沒發胖都超正帶勁,04/25,2022,1,0,0,0,0,0,1,1,1,0,1
177,louise13,→,0,189國際賽打3號都完全沒有身材優勢,05/23,2022,0,0,0,0,0,0,0,0,0,0,0
178,auk9,噓,1,南韓哪裡乖巧依順了XD,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
179,liusean,推,2,台灣不需要中共同路人國,12/10,2021,0,0,0,0,0,0,0,0,0,0,0
180,Kurumi2000,推,2,肥 臭 醜,12/06,2021,1,0,0,0,0,0,0,1,0,0,1
181,whatupmy,→,0,帽的下場,12/09,2021,0,0,0,0,0,0,0,0,0,0,0
182,soong2468,推,2,鳴人選大奶太父權，應該選扁奶醜女或,06/12,2022,1,0,0,0,0,0,0,1,0,0,1
183,zaqimon,→,0,肥婆不用生小孩就已經肥了,10/23,2022,1,0,0,0,0,0,0,1,0,0,1
184,seasinger,推,2,民進黨是不是只會選舉啊 除了選舉好像,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
185,pziix,噓,1,簽名檔的妹子好肥 都沒腰了 醜,08/07,2022,1,0,0,1,0,0,0,1,0,0,1
186,uwmtsa,推,2,綠衛兵也跟紅衛兵沒什麼不一樣啊,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
187,deann,→,0,斷交是喜事好嗎,12/10,2021,0,0,0,0,0,0,0,0,0,0,0
188,ethel617,噓,1,到底要滅幾次,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
189,applewolf,噓,1,拒星,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
190,pantakill,噓,1,事後放炮什麼水星逆行的肥婆也能順便管,03/27,2022,1,0,0,0,0,0,0,1,0,0,1
191,aGooDie,→,0,索威脅政府勒！,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
192,wonder007,推,2,油表上的滿就好啊 又不是實體油箱的滿,12/13,2021,0,0,0,0,0,0,0,1,0,0,0
193,henrygod,推,2,龍妹也要看臉和膚色 太黑不正的不行,10/31,2022,1,0,0,1,0,0,1,1,0,0,1
194,MrXD,→,0,黨媒啊,12/09,2021,0,0,0,0,0,0,0,0,0,0,0
195,jackwu9999,推,2,除非冷凍不會腦死,12/07,2021,0,0,0,0,0,0,0,0,1,0,0
196,Oldfather75,推,2,自己承認還不准別人說 又胖又醜,08/29,2022,1,0,0,0,0,0,0,1,0,0,1
197,kevinfolks,推,2,自由時報喔，看來李柏璋也要被黨割掉,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
198,wind1729,推,2,我穿覺得型很好買給我爸一件，肥肚明顯,07/11,2022,1,0,0,1,0,0,0,1,0,0,1
199,prkfcpr,推,2,綠畜崩潰,12/12,2021,0,0,0,0,0,0,1,0,0,0,0
200,Snowman,推,2,世間你這樣證實柯是台獨機關炮了,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
201,wald5566,→,0,小英政績 生不如死,12/14,2021,0,0,0,0,0,0,0,0,1,0,0
202,SydLrio,推,2,一堆死臭宅愛看死肥豬,02/12,2022,1,0,0,0,0,0,1,1,1,0,1
203,MaBumblerQQ,→,0,沒掛 沒奶子 滾一邊去,05/30,2022,2,0,0,0,0,0,0,0,0,1,2
204,Sabo5566,→,0,身材真差 男性女乳症＋肥肚,03/03,2022,1,0,0,1,0,0,0,1,0,0,1
205,AKIRAYOUNG,→,0,覺青 卻只會扣軍訓不敢加入解放軍,12/14,2021,0,0,0,0,0,0,0,0,0,0,0
206,a3221715,噓,1,臭死 死胖子,01/10,2022,1,0,0,0,0,0,0,1,1,0,1
207,pita30,推,2,亮亮是小腿比蘇美大腿粗那位？,09/05,2022,1,0,0,1,0,0,0,1,0,0,1
208,Oswyn,推,2,胖到動不了無法自理這種，都是有人當豬公養,10/21,2021,1,0,0,0,0,0,1,1,0,0,1
209,poppylove,→,0,喜歡帥哥所以被算計，龍妹悲歌,12/02,2021,1,0,0,0,0,0,1,0,0,0,1
210,chiwang,推,2,蔡,12/10,2021,0,0,0,0,0,0,0,0,0,0,0
211,elec1141,→,0,修圖龍妹,09/01,2021,1,0,0,0,0,0,1,0,0,0,1
212,tbes,推,2,開房堅先,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
213,Yenfu35,→,0,看康娜的小肥腿、翔太的女裝和小林小姐的,03/26,2022,0,0,0,1,0,0,0,1,0,0,0
214,theskyofblue,推,2,但她看起來蠻不白的說,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
215,sunmoonzhang,推,2,老太母豬腫臉肥婆可以嗎？,10/27,2021,1,0,0,1,0,0,1,1,0,0,1
216,s175,→,0,錄那些請去打死，吃飯那四個球棒我借你,12/08,2021,0,0,0,0,0,0,0,0,1,0,0
217,a36464,推,2,連國民黨都不敢打的議題大概只有某些白癡,12/12,2021,0,0,0,0,0,0,0,0,0,0,0
218,timeaftime,→,0,憑酷龍妹子應該也是挑不完,03/08,2022,1,0,0,0,0,0,1,0,0,0,1
219,lecheck,推,2,肥 醜 臭 噁 爛 惡,11/23,2022,1,0,0,0,0,0,0,1,0,0,1
220,new71050,噓,1,肥婆閉嘴,12/22,2021,1,0,0,0,0,0,0,1,0,0,1
221,nullife,→,0,社會運動的，民主大概倒退了到199*去了,12/08,2021,0,0,0,0,0,0,0,0,0,0,0
222,ImCPM,推,2,？？？,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
223,fish10606,→,0,！讚讚,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
224,theta4719,→,0,臺灣貝吉塔,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
225,DiMammaMia,→,0,恐龍妹路上不是滿多的？,06/29,2022,1,0,0,0,0,0,1,0,0,0,1
226,kobe7610,噓,1,幹你娘死肥婆,01/20,2022,1,0,0,0,1,0,0,1,1,0,1
227,james0146,推,2,裝病走掉啊 你沒有聯誼過喔 男的被龍妹,03/14,2022,1,0,0,0,0,0,1,0,0,0,1
228,GGrunrundela,噓,1,這麼肥的醜89台男還能跟人家鬥毆喔,01/01,2022,1,0,0,0,0,0,0,1,0,0,1
229,llgod,→,0,高＋魚的影片拿出來賣前，不會修法,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
230,j55888819,→,0,你現在很肥又很醜,08/31,2021,1,0,0,0,0,0,0,1,0,0,1
231,SydLrio,→,0,死肥豬,01/29,2022,1,0,0,0,0,0,1,1,1,0,1
232,solidworker,推,2,那還真的是又醜又肥耶,08/29,2022,1,0,0,0,0,0,0,1,0,0,1
233,albertfeng,推,2,肥宅又醜又肥像哥林布一樣工作的奴隸,09/30,2021,1,0,0,0,0,1,0,1,0,0,1
234,BBScom,推,2,靠北真的金句王XDDD,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
235,ffreakk,推,2,腿好粗 腹部平坦 有點不科學,08/26,2021,1,0,0,1,0,0,0,1,0,0,1
236,forwind,噓,1,噁心蟑螂,12/08,2021,0,0,0,0,0,0,0,1,0,0,0
237,gameboy666,→,0,我看過胖子穿的，有個噁,09/26,2022,1,0,0,0,0,0,0,1,0,0,1
238,rumirumi,推,2,你什麼時候....,12/03,2021,0,0,0,0,0,0,0,0,0,0,0
239,grayplace,→,0,移工變移民啊，繼續供養上層,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
240,iMANIA,→,0, KMT又不是第一天搞政治的 笑死,12/03,2021,0,0,0,0,0,0,0,0,1,0,0
241,mondo123,→,0,過嗎,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
